"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Additional instruction","Additional multiple dosage or administration instructions as plain text. This may include guidance to the prescriber, patient or person administering the medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0005]","63"
"Maximum dose syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0036]","63"
"Instruction duration","","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]","63"
"Start datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0039]","63"
"End datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0040]","63"
"Instruction duration","","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| years, months, weeks, days, hours","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0037]","63"
"Patient instruction","Multiple plain text instructions intended for patient or carer.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0027]","63"
"Dispensing instruction","Multiple plain text to record complex dispensing arrangements, particularly for Controlled Drug instalment dispensing.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0004]","63"
"Comment","An additional comment about the medication item as a whole e.g. 'Patient named supply', 'unlicensed medication', 'Foreign brand'.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0028]","63"
"Course directions","Directions relating to the whole course of medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]","63"
"Indication","The clinical indication or reason for ordering the medication.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0069]","63"
"Overall duration","The overall duration for which this medication should be continued.","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| Continue indefinitely; Do not discontinue| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0041]","63"
"Overall recommendations","Any other directions about the medication e.g. monitoring requirements or alignment with other medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0045]","63"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/protocol[at0036]","63"
"Medication course status","The status of this prescription in an ambulatory (outpatient/GP/community) context.","No","","Primary","CODED_TEXT","[0..1]","","Active; Discontinued; Never active; Completed; Obsolete","","N","","N","","n/a","Yes","Active (local::at0033)| Discontinued (local::at0019)| Never active (local::at0069)| Completed (local::at0080)| Obsolete (local::at0081)","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0030]","64"
"Medication event","Summary of a medication event. Often this will be simply one or more key dates but further event detail may be required in some circumstances.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]","64"
"Event date","A date relating to a specific medication event during the course of a medication. Generally only exposed when the medication order archetype is being used in 'summary' mode.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]/items[at0047]","64"
"Administration withheld","Details relevant to withholding administration of the medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]","65"
"Reason withheld","The reason that administration of a medication was withheld.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]/items[at0124]","65"
"Comment","Any additional comments regarding thos medication event.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0136]","65"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]","67"
"Causative agent","Details of the agent or medicinal substance believed to be the cause of the adverse reaction or allergy.","No","","Primary","MULTIPLE","[1..1]","","| | Free or coded text","","N","","N","","246075003","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]/items[at0002]","67"
"Reaction details","Details of a single reaction thought to be due to the causative agent.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]/items[at0025]","67"
"Reaction","An optional pre-coordinated unqualified SNOMED-CT code for the nature of the reaction produced by the  drug allergy.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","282100009","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]/items[at0025]/items[at0004]","67"
"Date recorded","The date that the reaction was clinically recorded/asserted. This will  often equate to the date of onset of the reaction but this may not be wholly clear from source data.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]/items[at0025]/items[at0021]","67"
"Comment","Any additional comment or clarification about the adverse reaction.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/data[at0001]/items[at0025]/items[at0022]","67"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.adverse_reaction_uk.v1/protocol[at0023]","67"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/data[at0001]","68"
"Exclusion Statement","A statement about exclusion of known adverse reactions in the health record.","No","","Primary","TEXT","[1..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/data[at0001]/items[at0002.1]","68"
"Substance/Agent","Identification of the specific substance or agent to which the Exclusion Statement applies.","No","","Primary","MULTIPLE","[0..*]","","| DV_CODED_TEXTtruetruefalsefalse11defining_codetruetruefalsefalse11CODE_PHRASEtruetruefalsefalse11ac0.1| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/data[at0001]/items[at0003.1]","68"
"Comment","Additional narrative about the Exclusion not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/data[at0001]/items[at0007]","68"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/protocol[at0006]","68"
"Date Last Updated","The date at which the exclusion was last clinically asserted, affirmed or confirmed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-adverse_reaction.v1/protocol[at0006]/items[at0004]","68"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.contraindication.v1/data[at0001]","69"
"Contraindication","Identified contraindication to a treatment, medicine, vaccine or procedure.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.contraindication.v1/data[at0001]/items[at0002]","69"
"Evidence/Rationale","Evidence or rationale for the contraindication.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.contraindication.v1/data[at0001]/items[at0003]","69"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.contraindication.v1/protocol[at0006]","69"
"Date Last Updated","The date at which the contraindication was most recently deemed to apply, normally as a result of  clinical assertion or affirmation.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.contraindication.v1/protocol[at0006]/items[at0004]","69"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]","70"
"Absence Statement","Positive statement that no information is available.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]/items[at0002]","70"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]","70"
"Date Verified","The date at which the information was deemed to be absent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]/items[at0004]","70"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","73"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","73"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","75"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","75"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]","76"
"Status","Statement about the individual's overall pattern of usage or consumption of alcohol.","No","","Primary","CODED_TEXT","[0..1]","","Current drinker; Ex-drinker; Lifetime non-drinker","","N","","N","","n/a","Yes","Current drinker (local::at0003)| Ex-drinker (local::at0004)| Lifetime non-drinker (local::at0006)","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0002]","76"
"Typical Alcohol Consumption","Estimate of typical alcohol consumption, in number of standard drinks/units per day - either as a whole number, a range, or as a term, normally coded. Definitions of standard units/drinks vary considerably.","No","","Primary","MULTIPLE","[0..1]","","| Property = FREQUENCY| Upper = Property = FREQUENCY; Lower = Property = FREQUENCY| Free or coded text","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0024]","76"
"Form","The form or type of alcohol consumed.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0025]","76"
"Pattern of Use","The typical pattern of the subject's use of alcohol.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0027]","76"
"Binge Drinking Pattern","The subject's pattern of heavy, episodic drinking.","No","","Primary","CODED_TEXT","[0..1]","","None; Less than once per month; Monthly; Weekly; Daily","","N","","N","","n/a","Yes","None (local::at0028)| Less than once per month (local::at0029)| Monthly (local::at0030)| Weekly (local::at0031)| Daily (local::at0032)","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0026]","76"
"Date Commenced","Date that any consumption of alcohol commenced.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0015]","76"
"Date Ceased","Date that all consumption of alcohol ceased.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0016]","76"
"Comment","Additional narrative about the alcohol use or consumption pattern not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/data[at0001]/items[at0019]","76"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/protocol[at0021]","76"
"Date Last Updated","The date this alcohol consumption summary was last updated.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/protocol[at0021]/items[at0022]","76"
"Standard Drink Definition","Amount of alcohol defining a standard drink or unit.","No","","Primary","QUANTITY","[0..1]","","Property = MASS","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alcohol_use_summary.v1/protocol[at0021]/items[at0033]","76"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]","77"
"Smoking Status","Statement about the individual's current tobacco smoking activity.","No","","Primary","CODED_TEXT","[0..1]","","Current Smoker; Quitting; Ex-smoker; Never Smoked","","N","","N","","n/a","Yes","Current Smoker (local::at0003)| Quitting (local::at0027)| Ex-smoker (local::at0005)| Never Smoked (local::at0006)","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0002]","77"
"Smoking Details","Details about the pattern of use of a specified form of smoked tobacco.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]","77"
"Form","Identification of the form of tobacco smoked.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0028]","77"
"Typical Smoked Amount","Estimate of typical use of the form of smoked tobacco per day - as a whole number, a range or as a term (usually coded).","No","","Primary","MULTIPLE","[0..*]","","| Property = FREQUENCY| Upper = ; Lower = Property = FREQUENCY| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0023]","77"
"Pattern of Use","The typical pattern of use of the form of smoked tobacco.","No","","Primary","CODED_TEXT","[0..1]","","Regular, daily use; Occasional use","","N","","N","","n/a","Yes","Regular, daily use (local::at0031)| Occasional use (local::at0032)","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0030]","77"
"Date Commenced","Date that smoking commenced.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0015]","77"
"Date Ceased","Date that smoking ceased.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0016]","77"
"Pack Years","Estimate of the cumulative amount of cigarettes smoked, measured in pack years.","No","","Primary","COUNT","[0..1]",""," >= 0; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0017]","77"
"Number of Cessation Attempts","Number of times the individual has attempted to stop smoking.","No","","Primary","COUNT","[0..1]",""," >= 0; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0029]/items[at0025]","77"
"Snuff use status","Statement about the individual's current snuff use.","No","","Primary","CODED_TEXT","[0..1]","","Current snuff user; Former snuff user; Never used snuff","","N","","N","","n/a","Yes","Current snuff user (local::at0040)| Former snuff user (local::at0041)| Never used snuff (local::at0042)","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0033]","77"
"Snuff use details","Details of the subject's use of snuff.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0034]","77"
"Pattern of Use","The subject's pattern of use of snuff.","No","","Primary","CODED_TEXT","[0..1]","","Regular, daily use; Occasional use","","N","","N","","n/a","Yes","Regular, daily use (local::at0031)| Occasional use (local::at0032)","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0034]/items[at0039]","77"
"Typical Snuff Consumption (tins)","The typical use of snuff measured in tins used per week.","No","","Primary","MULTIPLE","[0..1]","","| Property = FREQUENCY| 1-3 tins per week; 4-6 tins per week; +7 tins per week","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0034]/items[at0035]","77"
"Other Tobacco Use","Narrative description of other tobacco use, other than smoking.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0024]","77"
"Comment","Additional narrative about the toacco use not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/data[at0001]/items[at0019]","77"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/protocol[at0021]","77"
"Date Last Updated","The date this tobacco use summary was last updated.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.tobacco_use_summary.v1/protocol[at0021]/items[at0022]","77"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","79"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","79"
"Point in time","A specific date and/or time which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.news_rcp_uk.v1/data[at0001]/events[at0002]","82"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.news_rcp_uk.v1/data[at0001]/events[at0002]/data[at0003]","82"
"Total Score","The composite total score of each NEWS parameter category.","No","","Primary","COUNT","[0..1]",""," >= 0;  <= 17","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.news_rcp_uk.v1/data[at0001]/events[at0002]/data[at0003]/items[at0028]","82"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.avpu.v1/data[at0001]/events[at0002]","83"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.avpu.v1/data[at0001]/events[at0002]/data[at0003]","83"
"AVPU Observation","The observation of the patient's responsiveness.","No","","Primary","CODED_TEXT","[0..1]","","Alert; Voice; Pain; Unresponsive","","N","","N","","n/a","Yes","Alert (local::at0005)| Voice (local::at0006)| Pain (local::at0007)| Unresponsive (local::at0008)","","","","","","","openEHR-EHR-OBSERVATION.avpu.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","83"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]","84"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/data[at0003]","84"
"spO2","Measured via pulse oximetry, the saturation of oxygen in the peripheral blood.","No","","Primary","PROPORTION","[0..1]","","Allowed values: Unitary; Numerator:  >= 0;  <= 100; Denominator: ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/data[at0003]/items[at0006]","84"
"spMet","Measured via pulse CO-oximetry, the saturation of methoxyhaemoglobin in the peripheral blood.","No","","Primary","PROPORTION","[0..1]","","Allowed values: Unitary; Numerator:  >= 0;  <= 100; Denominator: ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/data[at0003]/items[at0046]","84"
"Interpretation","Single word, phrase or brief description represents the clinical meaning and significance of the physical examination findings.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/data[at0003]/items[at0058]","84"
"Comment","A text comment about the indirect oximetry result.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/data[at0003]/items[at0036]","84"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/data[at0001]/events[at0002]/state[at0014]","84"
"Percent O2","Percentage of inspired oxygen.","No","","Primary","PROPORTION","[0..1]","","Allowed values: Unitary; Numerator:  >= 0;  <= 100; Denominator: ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.ambient_oxygen.v1/items[at0053]","85"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.indirect_oximetry.v1/protocol[at0007]","85"
"any event","Default event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/data[at0001]/events[at0006]","86"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/data[at0001]/events[at0006]/data[at0003]","86"
"Systolic","Peak systemic arterial blood pressure  - measured in systolic or contraction phase of the heart cycle.","No","","Primary","QUANTITY","[0..1]","","Property = PRESSURE","","N","","N","","163030003","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/data[at0001]/events[at0006]/data[at0003]/items[at0004]","86"
"Diastolic","Minimum systemic arterial blood pressure - measured in the diastolic or relaxation phase of the heart cycle.","No","","Primary","QUANTITY","[0..1]","","Property = PRESSURE","","N","","N","","163031004","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/data[at0001]/events[at0006]/data[at0003]/items[at0005]","86"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/data[at0001]/events[at0006]/state[at0007]","86"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.blood_pressure.v1/protocol[at0011]","86"
"Any event","Generic event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.respiration.v1/data[at0001]/events[at0002]","87"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.respiration.v1/data[at0001]/events[at0002]/data[at0003]","87"
"Rate","Rate of respiration.","No","","Primary","QUANTITY","[0..1]","","Property = FREQUENCY","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.respiration.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","87"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.respiration.v1/data[at0001]/events[at0002]/state[at0022]","87"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.body_temperature.v1/data[at0002]/events[at0003]","88"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.body_temperature.v1/data[at0002]/events[at0003]/data[at0001]","88"
"Temperature","The measured body temperature (as a surrogate for the whole body).","No","","Primary","QUANTITY","[1..1]","","Property = TEMPERATURE","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.body_temperature.v1/data[at0002]/events[at0003]/data[at0001]/items[at0004]","88"
"State","State information about the patient.","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.body_temperature.v1/data[at0002]/events[at0003]/state[at0029]","88"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.body_temperature.v1/protocol[at0020]","88"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.pulse.v1/data[at0002]/events[at0003]","89"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.pulse.v1/data[at0002]/events[at0003]/data[at0001]","89"
